id,created_at,favorite_count,retweet_count,text
1491497382713962502,2022-02-09 19:41:01+00:00,3535,769,Tune in as I meet with CEOs of electric utilities to discuss my Build Back Better Agenda. https://t.co/oUIoLLJDlO
1491462292302618630,2022-02-09 17:21:35+00:00,67256,9701,"In my first full year as president, the economy created 6.6 million jobs.
 
6.6 million — that’s never happened before."
1491434410540998663,2022-02-09 15:30:47+00:00,13234,2349,"This afternoon, I’m meeting with CEOs of electric companies to discuss the need for my Build Back Better Agenda — which includes the largest investment to combat climate change in U.S. history. It’ll lower energy costs, create good-paying jobs, and build a clean energy future."
1491412764279070731,2022-02-09 14:04:46+00:00,21265,3487,"During my first year in office, we experienced historic economic growth. But we have more work to do to lower kitchen table costs — like child care and prescription drugs — and get people working. That’s what my Build Back Better Agenda does."
1491211024355274757,2022-02-09 00:43:08+00:00,8339,1593,"The Bipartisan Infrastructure Law included $7.5 billion for electric vehicle chargers, like this one at the White House today built by Tritium. Their new facility in Tennessee will create up to 500 jobs and build up to 30,000 chargers every year. https://t.co/xEPqHrmmXe"
1491186973511458818,2022-02-08 23:07:34+00:00,36938,8448,"I want every member of the LGBTQI+ community — especially the kids who will be impacted by this hateful bill — to know that you are loved and accepted just as you are. I have your back, and my Administration will continue to fight for the protections and safety you deserve. https://t.co/OcAIMeVpHL"
1491164666625769477,2022-02-08 21:38:55+00:00,9371,1718,"My Made in America strategy has resulted in the largest increase in U.S. manufacturing jobs in nearly 30 years. Now, we have to build on that with legislation like the Make It In America Act and COMPETES Act.

We’re going to create good-paying jobs and lower prices for Americans."
1491157780056715265,2022-02-08 21:11:33+00:00,6052,1205,"Wall Street didn’t build this country, the middle class did. And unions built the middle class.

We’re strengthening America’s labor unions to ensure every worker can join a union and have a fair shot to get ahead. https://t.co/LkS2q1I5tV"
1491145547310379011,2022-02-08 20:22:57+00:00,7731,1416,"Today’s announcement by Tritium is part of the drumbeat of a jobs resurgence unlike anything we’ve seen before.
 
Let’s keep coming together to invest in American manufacturing — and the workers who make it run.
 
Because when we do, there’s no limit to what we can achieve."
1491134145762050048,2022-02-08 19:37:38+00:00,29967,3958,"China has been leading the electric vehicle race, but that’s about to change.

We’re building a convenient, reliable, equitable national public charging network.
 
It’ll make America more economically competitive and help us tackle the climate crisis at the same time."
1491128442762444805,2022-02-08 19:14:59+00:00,3455,709,Tune in as I deliver remarks on our work to rebuild American manufacturing. https://t.co/nPXLUh6bG8
1491076307379265537,2022-02-08 15:47:49+00:00,28228,4305,"My Made in America strategy means bringing manufacturing jobs back, and building supply chains here at home.

It means better jobs and lower prices."
1491065591251312646,2022-02-08 15:05:14+00:00,5147,917,"I’m looking forward to hosting the folks from Tritium at the White House today. Like manufacturers large and small, they’re creating good-paying jobs building the future right here in America. Investments like these are why I fought so hard for the Bipartisan Infrastructure Law. https://t.co/T5HRWRFT2Y"
1490846796305870848,2022-02-08 00:35:49+00:00,12104,1799,"I welcomed Chancellor Olaf Scholz of Germany today for his first visit to the White House. We discussed our diplomatic and deterrence response to Russia’s military build-up on Ukraine’s borders, and our shared commitment to working closely together to address common challenges. https://t.co/Uu1ex9J1B6"
1490800112741892098,2022-02-07 21:30:19+00:00,7949,1332,"I signed an Executive Order in July to promote competition and bring down costs for Americans. Just one of the steps in that order is making hearing aids available over the counter, which would bring the cost down hundreds of dollars. https://t.co/p9sZWZKyB0"
1490787586805272578,2022-02-07 20:40:32+00:00,3868,784,Tune in as I hold a joint press conference with German Chancellor Olaf Scholz. https://t.co/SAr4TsFHRY
1490720912278265860,2022-02-07 16:15:36+00:00,25518,3262,"I look forward to welcoming German Chancellor Olaf Scholz to the White House this afternoon. We’re working together to support Ukraine’s sovereignty and territorial integrity, and we’re committed to making progress on COVID-19, climate change, and more."
1490485273653919748,2022-02-07 00:39:15+00:00,17143,2392,"I spoke today with Prime Minister Naftali Bennett of Israel to address challenges facing the Middle East, including the threat posed by Iran. I conveyed ironclad support for Israel’s security and underscored my commitment to security, stability, and prosperity in the region."
1490331148806983682,2022-02-06 14:26:49+00:00,13885,2716,"This job growth is unlike anything in our history – and it didn’t happen by chance. 

It’s the result of an economic plan I put into action on day one. https://t.co/kZRbX188pd"
1490086336971386880,2022-02-05 22:14:01+00:00,56237,9712,"Here’s the deal: Unvaccinated individuals are 97 times more likely to die compared to those who are boosted. 

Protect yourself and those around you by getting vaccinated and boosted today."
1490016065765715968,2022-02-05 17:34:47+00:00,34995,5762,"If you can’t remember another year when so many people went to work in this country, there’s a reason: it’s never happened before.

Last year was the biggest year for job growth in our history."
1489995987498287109,2022-02-05 16:15:00+00:00,19633,3493,"Too many families are forced to choose between a paycheck and caregiving. It has to change.

As we mark the anniversary of the Family and Medical Leave Act, I am committed to continuing the fight for national paid family and medical leave."
